Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
Sage Group (The) PLC,SGE,London Stock Exchange,Information Technology,Software & Services,Software,Application Software
Smiths Group PLC,SMIN,London Stock Exchange,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
SSE PLC,SSE,London Stock Exchange,Utilities,Utilities,Electric Utilities,Electric Utilities
Standard Chartered PLC,STAN,London Stock Exchange,Financials,Banks,Banks,Diversified Banks
Severn Trent PLC,SVT,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities
Tullow Oil PLC,TLW,London Stock Exchange,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
Unilever PLC,ULVR,London Stock Exchange,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
United Utilities Group PLC,UU,London Stock Exchange,Utilities,Utilities,Water Utilities,Water Utilities
Vodafone Group PLC,VOD,London Stock Exchange,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
Whitbread PLC,WTB,London Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
Wynnstay Group PLC,WYN,London Stock Exchange,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services
Royal Dutch Shell PLC,SHEL,London Stock Exchange,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
AstraZeneca PLC,AZN,London Stock Exchange,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
Smith & Nephew PLC,SN,London Stock Exchange,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
Experian PLC,EXPN,London Stock Exchange,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services
BHP Group PLC,BHP,London Stock Exchange,Materials,Materials,Metals & Mining,Diversified Metals & Mining
Carclo PLC,CAR,London Stock Exchange,Materials,Materials,Chemicals,Specialty Chemicals
Rio Tinto PLC,RIO,London Stock Exchange,Materials,Materials,Metals & Mining,Diversified Metals & Mining
American Airlines Group Inc,AAL,Nasdaq,Industrials,Transportation,Passenger Airlines,Passenger Airlines
Apple Inc,AAPL,Nasdaq,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
Acadia Healthcare Co Inc,ACHC,Nasdaq,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
Adobe Inc,ADBE,Nasdaq,Information Technology,Software & Services,Software,Application Software
Aehr Test Systems,AEHR,Nasdaq,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment
American Electric Power Co Inc,AEP,Nasdaq,Utilities,Utilities,Electric Utilities,Electric Utilities
